No.,Brand,Product,Category,Standard Size,Volume (L),Weight (kg),Est. Price (PHP),Availability
217,Hippo,Hippo SP H#1200 Inactive,Inactive item,piece / assorted,,,,Inactive
218,Hippo,Hippo SP H#36 Inactive,Inactive item,piece / assorted,,,,Inactive
219,Hotime,HSCD Hotime Steel Cutting Disk,Accessory / tool,piece / assorted,,,70,Active
220,Hudson,Hudson Two-Comp PB H PTC Top Coat w/ Cat GAL,Enamel / lacquer / primer,4 L / gal,4,,1700,Active
221,Hudson,Hudson Two-Comp PB H PTC Top Coat w/ Cat LT,Enamel / lacquer / primer,1 L,1,,420,Active
222,Hudson,Hudson Two-Comp PB H PUR Reducer GAL,Solvent / hardener,4 L / gal,4,,950,Active
223,Hudson,Hudson Two-Comp PB H PUR Reducer LT,Solvent / hardener,1 L,1,,260,Active
224,Hudson,Hudson Two-Comp PB H PUS Sealer w/ Cat GAL,Putty / filler / sealer,4 L / gal,4,,900,Active
225,Hudson,Hudson Two-Comp PB H PUS Sealer w/ Cat LT,Putty / filler / sealer,1 L,1,,220,Active
226,K92,K-333 Universal Clear Coat K92 LT,Enamel / lacquer / primer,1 L,1,,450,Active
227,Lucky,L-LTH-1 LUCKY Lacquer Thinner BTL,Solvent / hardener,350 mL bottle,0.35,,60,Active
228,Lucky,L-LTH-2 LUCKY Lacquer Thinner GAL,Solvent / hardener,4 L / gal,4,,580,Active
229,Lucky,L-PTH-1 LUCKY Paint Thinner BTL,Solvent / hardener,350 mL bottle,0.35,,60,Active
230,Lucky,L-PTH-2 LUCKY Paint Thinner GAL,Solvent / hardener,4 L / gal,4,,580,Active
231,Menzerna,PG-1000 Menzerna Rubbing Compound 50ml,Paint / assorted,50 mL,0.05,,10,Active
232,Nippon,Nippon EP White,Paint / assorted,piece / assorted,,,250,Active
233,Nippon,Nippon Nax Extreme PU Varnish GAL,Enamel / lacquer / primer,4 L / gal,4,,950,Active
234,Oasis,OCB Oasis Cutting Disk,Accessory / tool,piece / assorted,,,70,Active
235,Omega,MES50100 Omega Mesh Tape,Accessory / tool,piece / assorted,,,100,Active
236,Omega,MT-12 Omega Masking Tape 1/2,Accessory / tool,piece / assorted,,,25,Active
237,Omega,MT-18 Omega Masking Tape 3/4,Accessory / tool,piece / assorted,,,35,Active
238,Omega,MT-24 Omega Masking Tape 1 in,Accessory / tool,piece / assorted,,,50,Active
239,Omega,MT-48 Omega Masking Tape 2 in,Accessory / tool,piece / assorted,,,95,Active
240,Omega,OFS-80 Omega Floor Sanding 100 Grit 12x45,Accessory / tool,piece / assorted,,,15,Active
241,Omega,OFS-80 Omega Floor Sanding 80 Grit 12x45,Accessory / tool,piece / assorted,,,15,Active
242,Omega,Omega Extension Pole Aluminum 2m,Accessory / tool,piece / assorted,,,100,Active
243,Omega,Omega Extension Pole Aluminum 3m,Accessory / tool,piece / assorted,,,100,Active
244,Omega,Omega Paint Brush 1 in,Accessory / tool,piece / assorted,,,45,Active
245,Omega,Omega Paint Brush 1.5 in,Accessory / tool,piece / assorted,,,65,Active
